gallery_cloudWaitBackup,Waiting for backup,Esperando la copia de respaldo,बैकअप के लिए प्रतीक्षा हो रही है,バックアップ待機中,백업 대기 중,Esperando pelo backup,Ожидание резервного копирования,กำลังรอการสำรอง,Đang chờ sao lưu,正在等待备份,正在等待備份
setting_camera_ui,Viewfinder screen,Pantalla del visor,व्यूफ़ाइंडर स्क्रीन,ファインダー画面,뷰 파인더 화면,Tela do visor,Видоискатель,หน้าจอช่องมองภาพ,Màn hình Kính ngắm,取景界面,取景界面
newuser_code_input_send_code_succeed,"Verification code has been sent, please check","Se ha enviado el código de verificación, consulte","सत्यापन कोड भेज दिया गया है, कृपया जाँच करें",認証コードを送信しました。ご確認ください。,인증 코드가 전송되었습니다. 확인하시기 바랍니다,"O código de verificação foi enviado, verifique","Отправлен код подтверждения, пожалуйста, проверьте",รหัสยืนยันถูกส่งไปแล้ว กรุณาตรวจสอบ,"Mã xác thực đã được gửi, vui lòng kiểm tra",验证码已发送，请注意查收,驗證碼已發送，請注意查收
setting_password_footer,Use as standalone or accessory to Touch ID.,Uso como modo autónomo o accesorio para ID táctil.,स्टैंडअलोन या टच आईडी के लिए सहायक के रूप में उपयोग करें,単独または補助機能としてTouch IDを使用できます。,단독 사용 혹은 터치 ID 보조용으로 사용합니다.,Use como independente ou acessório para ID de toque.,Используйте отдельно или как дополнение к Touch ID.,สามารถใช้เป็นส่วนช่วยของTouch Idได้ และยังใช้งานอย่างเดี่ยวก็ได้,Sử dụng độc lập hoặc bổ sung cho Touch ID.,可作为Touch ID的辅助，也可独立使用。,"可作為Touch ID的輔助,也可獨立使用."
cloud_no_photo_startUpload_tips,Upload your photos to Camera360 Cloud,Suba sus fotos a la nube de Camera360,अपने फ़ोटो Camera360 क्लाउड में अपलोड करें,Camera360クラウドに写真をバックアップ,Camera360 클라우드에 사진을 업로드하세요,Carregue as suas fotos na Nuvem da Camera360,Отправлять фотографии в облако Camera360,อัปโหลดรูปถ่ายของคุณไปยัง Camera360,Tải ảnh của bạn lên Đám mây Camera360,开始用Camera360云相册备份照片吧,開始用Camera360雲相冊備份照片吧
setting_charge_upload,Upload only when charging,Subir solamente al momento de cargar,केवल चार्जिंग के समय अपलोड करें,充電中のみアップロード,충전시에만 업로드,Carregar apenas quando estiver carregando,Отправлять только при зарядке,อัปโหลดเฉพาะเมื่อกำลังชาร์จเท่านั้น,Chỉ tải lên khi đang sạc,仅在充电时上传,僅在充電時上傳
setting_wifi_upload,Upload only on WIFI,Subir solamente en WIFI,केवल WIFI पर अपलोड करें,Wi-Fiでのみアップロード,WIFI 환경에서만 업로드,Carregar apenas no WIFI,Отправлять только по сети Wi-Fi,อัปดหลดเฉพาะขณะต่อ WIFI เท่านั้น,Chỉ tải lên trên WIFI,仅在WIFI下上传,僅在WIFI下上傳
setting_3g_upload,Upload on 3G and WIFI,Subir en 3G y WIFI,3G और WIFI पर अपलोड करें,常時オン,3G 및 WIFI 환경에서만 업로드,Carregar no 3G e WIFI,Отправлять по сети 3G и Wi-Fi,อัปโหลดผ่าน 3G และ Wi-Fi,Tải lên trên 3G và WIFI,3G和WIFI下上传,3G和WIFI下上傳
common_migration_alert,Upgrading database,Actualizando la base de datos,डेटाबेस अपग्रेड हो रहा है,データベース更新中,데이터베이스 업그레이드 중,Atualizando banco de dados,Обновление базы данных,กำลังอัปเกรดฐานข้อมูล,Đang nâng cấp cơ sở dữ liệu,数据库升级中，请稍等,數據庫升級中，請稍等
common_uppdate_minutes_ago,Updated %ld minutes ago,Actualizado hace %ld minutos,%ld मिनट पहले अपडेट किया गया,前回更新：%ld分前,%ld 분 전에 업데이트 ,Atualizou há %ld minutos,Обновлено %ld мин. назад,ปรับปรุงแล้วเมื่อ %ld นาทีที่แล้ว,Đã cập nhật %ld phút trước,%ld分钟更新,%ld分鐘前更新
common_uppdate_minute_ago,Updated %ld minute ago,Actualizado hace %ld minuto,%ld मिनट पहले अपडेट किया गया,前回更新：%ld分前,%ld 분 전에 업데이트,Atualizou há %ld minuto,Обновлено %ld мин. назад,ปรับปรุงแล้วเมื่อ %ld นาทีที่แล้ว,Đã cập nhật %ld phút trước,%ld分钟更新,%ld分鐘前更新
common_uppdate_hours_ago,Updated %ld hours ago,Actualizado hace %ld horas,%ld घंटे पहले अपडेट किया गया,前回更新：%ld時間前,%ld 시간 전에 업데이트,Atualizou há %ld horas,Обновлено %ld ч. назад,ปรับปรุงแล้วเมื่อ %ld ชั่วโมงที่แล้ว,Đã cập nhật %ld giờ trước,%ld小时前更新,%ld小時前更新
common_uppdate_hour_ago,Updated %ld hour ago,Actualizado hace %ld horas,%ld घंटा पहले अपडेट किया गया,前回更新：%ld時間前,%ld 시간 전에 업데이트,Atualizou há %ld hora,Обновлено %ld ч. назад,ปรับปรุงแล้วเมื่อ %ld ชั่วโมงที่แล้ว,Đã cập nhật %ld giờ trước,%ld小时前更新,%ld小時前更新
common_uppdate_days_ago,Updated %ld days ago,Actualizado hace %ld días,%ld दिन पहले अपडेट किया गया,前回更新：%ld日前,%ld 일 전에 업데이트,Atualizou há %ld dias,Обновлено %ld д. назад,ปรับปรุงแล้วเมื่อ %ld วันที่แล้ว,Đã cập nhật %ld ngày trước,%ld天前更新,%ld天前更新
common_uppdate_day_ago,Updated %ld day ago,Actualizado hace %ld día,%ld दिन पहले अपडेट किया गया,前回更新：%ld日前,%ld 일 전에 업데이트,Atualizou há %ld dia,Обновлено %ld д. назад,ปรับปรุงแล้วเมื่อ %ld วันที่แล้ว,Đã cập nhật %ld ngày trước,%ld天前更新,%ld天前更新
gallery_puzzle_select_tips,Up to 9 photos at once,Hasta 9 horas a la vez,एक साथ 9 फ़ोटो तक,最大9枚まで選択できます。,한번에 최대 9 장까지 선택 가능,Até 9 fotos por vez,До 9 фотографий за один раз,คุณสามารถเลือกได้ถึง 9 รูป .,Tối đa 9 ảnh cùng lúc,最多只能选择9张照片。,最多只能選擇9張照片。
effect_uninstall_confirm,"Uninstall \""%@\""?","¿Desea desinstalar \""%@\""?","\""%@\""की स्थापना रद्द करें?",「%@」を本当に削除しますか？,"\""%@\""?(을)를 삭제하시겠습니까?","Desinstalar \""%@\""?","Удалить \""%@\""?",แน่ใจหรือไม่ที่จะถอนการติดตั้ง%@?,"Dỡ cài đặt \""%@\""?","是否确认卸载\""%@\""？","是否確認卸載\""%@\""？"
unable_to_delete_filter,"Unable to delete filter, you need at least one!","No se puede eliminar el filtro, ¡Al menos necesita uno!","फ़िल्टर हटाने में असमर्थ, आपको कम-से-कम एक फ़िल्टर की ज़रूरत है!",フィルターを削除できません。最低1つのフィルターが必要です！,필터 삭제 불가능. 최소 하나는 남겨두셔야 합니다!,"Não é possível excluir filtro, você precisa pelo menos de um!","Не удается удалить фильтр, должен остаться по крайней мере один!",ไม่สามารถลบฟิลเตอร์ คุณต้องใช้อย่างน้อยหนึ่งตัว!,"Không thể xóa bộ lọc, bạn cần ít nhất một!","无法卸载, 需要保留至少一个特效包哟!",無法卸載，需要保留至少一個特效包喲！
setting_password_not_set_alert,Turn on Pattern Lock in Advanced Settings.,Encienda Bloqueo de diseño en Ajustes avanzados.,उन्नत सेटिंग्स में पैटर्न लॉक चालू करें।,詳細設定でパターンロックをオンにしてください。,고급 설정에서 패턴 잠금을 설정하십시오,Ative o Bloqueio de Padrão em Configurações Avançadas.,Включите блокировку жестом в дополнительных параметрах.,คุณยังไม่ตั้งรหัสผ่านแบบลากเส้น สามารถเข้าตั้งที่โหมดตั้งค่าระดับสูง,Bật Khóa Mẫu hình trong Cài đặt Nâng cao.,你还未设置手势密码，可到高级设置中设置。,"你還未設置手勢密碼,可到高級設置中設置."
gallery_albumDenyTip,Turn on album permission,Encienda el permiso del álbum,एल्बम की अनुमति चालू करें,アルバムを許可,앨범 권한을 켜십시오,Ativar permissão do álbum,Включите разрешение альбома,เปิดการอนุญาตใช้งานอัลบั้ม,Bật quyền album,请先开启相册权限,請先開啟相冊權限
setting_touch_id_off_alert2,Touch ID is off.,ID táctil está apagada.,टच आईडी बंद है।,Touch IDがオフです。,터치 ID가 꺼져 있습니다,ID de toque está desativado.,Touch ID выкл.,ระบบTouch Idปิดใช้แล้ว,Tắt Touch ID.,系统Touch ID已关闭,系統Touch ID已關閉
setting_touch_id,Touch ID,ID táctil,टच आईडी,Touch ID,터치 ID,ID de toque,Touch ID,Touch ID,Touch ID,Touch ID,Touch ID
gallery_today,Today,Hoy,आज,今日,오늘,Hoje,Cегодня,วันนี้,Hôm nay,今天,今天
feedback_remoteNotification,"To ensure timely receipt of your reply, please open the message push permissions.","Para garantizar la recepción puntual de su respuesta, abra los permisos de acceso del mensaje.","अपने उत्तर की समय पर प्राप्ति सुनिश्चित करने के लिए, कृपया संदेश पुश अनुमतियाँ खोलें।",迅速に回答するために、Camera360のプッシュ通知を許可してください。,"신속한 회신을 원하시면, 설정에서 푸쉬메시지 권한을 작동해 주십시오.","Para garantir um pronto recebimento da sua resposta, abra as permissões de envio de mensagem.",Для обеспечения своевременного получения ответа включите push-уведомления.,เพื่อให้แน่ใจว่าได้รับเวลาที่เหมาะสมของข้อความให้เปิดฟังก์ชั่นการผลักดันข้อความ,"Để đảm bảo kịp thời nhận được trả lời của bạn, vui lòng mở quyền push tin nhắn.",为保证你及时收到回复，请你在系统设置中开启Camera360的消息推送权限。,為保證你及時收到回复，請你在系統設置中開啟Camera360的消息推送權限。
camera_preview_volume_tips,Tips: Press the volume keys to save photos!,Consejos: ¡Presione las teclas de volumen para guardar fotografías!,युक्तियाँ: फ़ोटो सहेजने के लिए वॉल्यूम कुंजी दबाएँ!,Tips：音量ボタンで写真が保存できます！,팁 :볼륨 키를 누르면 사진이 저장됩니다!,Dicas: Pressione as teclas de volume para salvar fotos!,Советы: Нажмите клавиши громкости для сохранения фотографий!,เคล็ดลับ: กดปุ่มปรับเสียงเพื่อจัดเก็บรูปภาพ!,Mẹo: Nhấn các phím âm lượng để lưu ảnh!,Tips:按下音量键就可以直接保存照片哟！,Tips:按下音量鍵就可以直接保存照片喲！
imageshow_exposure_time,TIME,HORA,समय,露出時間,시간 표시,HORA,ВРЕМЯ,TIME,TGIAN,曝时,曝时
gallery_currentweek,This week,Esta semana,इस हफ़्ते,今週,이번 주,Esta semana,За эту неделю,สัปดาห์นี้,Tuần này,本周,本周
user_center_email_registed,This email has been registered by another Camera360 member.,Este correo electrónico se ha registrado con otro miembro de Camera360.,यह ईमेल अन्य Camera360 सदस्य द्वारा पंजीकृत की गई है।,このEメールアドレスは他のCamera360会員が登録済みです。,"다른 Camera360 계정에 등록된 이메일 주소라서, 바인딩할 수 없습니다.",Este e-mail foi registrado por outro membro da Camera360.,Этот адрес зарегистрирован на другого участника Camera360.,อีเมลดังกล่าวมีบัญชีของสมาชิก Camera360 อยู่แล้ว จึงไม่สามารถผูกมัดได้,Email này đã được đăng ký bởi một thành viên Camera360 khác.,该邮箱已有Camera360会员账户，不能进行绑定,該郵箱已有Camera360會員賬戶，不能進行綁定
user_center_passworderror,The password you entered is incorrect.,La contraseña que ingresó es incorrecta.,आपके द्वारा दर्ज किया पासवर्ड ग़लत है।,パスワードが間違っています。再試行してください。,입력한 암호가 올바르지 않습니다,A senha que você inseriu está incorreta.,Вы ввели неправильный пароль.,รหัสผ่านที่คุณป้อนไม่ถูกต้อง,Mật khẩu bạn đã nhập không đúng.,密码有误，请重新输入,密碼有誤，請重新輸入
user_center_passwordUnlawful_reinput,The password must be 6-20 characters.,Contraseña entre 6 y 20 caracteres.,पासवर्ड 6-20 वर्णों का होना चाहिए।,パスワードは6～20文字,암호의 길이는 6-20 자여야합니다.,A senha deve ter de 6 a 20 caracteres.,Пароль должен содержать 6-20 символов.,รหัสผ่านต้องมี 6-20 ตัวอักษร,Mật khẩu phải có 6-20 ký tự.,密码需由6~20位字符组成,密碼需由6~20位字符組成
common_check_network,The network is not available.Please check your network Settings.,La red no está disponible. Verifique los ajustes de su red.,नेटवर्क उपलब्ध नहीं है।कृपया अपनी नेटवर्क सेटिंग्स की जाँच करें।,ネットワークが使用できません。設定を確認してください。,네트워크를 사용할 수 없습니다. 네트워크 설정을 확인하십시오.,A rede não está disponível. Verifique as suas configurações de rede.,Сеть недоступна. Проверьте настройки сети.,เครือข่ายมีปัญหาและไม่สามารถใช้งานได้ โปรดตรวจสอบเครือข่ายคุณอีกครั้ง,Mạng không sẵn có. Vui lòng kiểm tra Cài đặt mạng của bạn.,当前网络不可用，请检查你的网络设置,當前網絡不可用，請檢查你的網絡設置
user_center_userNotExist,User name does not exist,El nombre de usuario no existe,उपयोगकर्ता नाम मोजूद नहीं,このユーザーは存在しません,존재하지 않은 사용자입니다,A rede não está disponível. Por favor verifique as configurações da rede,Имя пользователя не существует,ไม่พบบัญชีนี้,Tải khoản không tồn tại,该用户不存在,該帳戶不存在
setting_xiao_c,Feedback,Comentarios,फ़ीडबैक,Feedback,피드백,Feedback,Обратная связь,Feedback,Phản hồi,意见反馈,意見反饋
setting_synchronize_photos,Sync to Camera Roll,Sincronizar con el rollo de la cámara,कैमरा रोल में सिंक करें,カメラロールへの自動同期,카메라롤에 자동 저장,Sincronizar com rolo da câmera,Синхронизация с Фотопленкой,ซิงค์กับม้วนกล้อง,Đồng bộ với Thư viện Ảnh,自动保存到相机胶卷,自動保存到相機膠卷
puzzle_cancel_tips,Sure to give up this puzzle?,¿Está seguro de abandonar este rompecabezas?,क्या आप यह पज़ल वाकई छोड़ना चाहते हैं?,このコラージュを破棄しますか？,이 퍼즐을 포기하시겠습니까?,Tem certeza que deseja desistir deste quebra-cabeça?,Отказаться от решения головоломки?,แน่ใจที่จะยกเลิกปริศนานี้?,Chắc chắn bỏ qua câu đố này?,确定要放弃当前拼图吗？,確定要放棄當前拼圖嗎？
cloud_album_delete_photos_tips,Sure to delete %d photo?,¿Está seguro de borrar %d fotografía?,क्या आप %d फ़ोटो वाकई हटाना चाहते हैं?,%d枚の写真を削除しますか？,%d 장의 사진을 삭제하시겠습니까?,Tem certeza que deseja excluir %d foto?,Удалить фото %d?,จะลบรูปถ่าย%dรูปไหม,Chắc chắn xóa %d ảnh?,是否要删除%d张照片？,是否要刪除%d張照片？
camera_preview_strength,Strength,Fuerza,शक्ति,強さ,강도,Força,Сила,ความแข็งแกร่ง,Cường độ,强度,強度
gallery_activeAlbum,Start,Inicio,प्रारंभ करें,開始,시작,Iniciar,Начать,เปิด,Bắt đầu,立即开启,立即開啟
gallery_start_collage,Start,Inicio,प्रारंभ करें,開始,시작,Iniciar,Начать,ปริศนา,Bắt đầu,开始拼图,開始拼圖
caemra_effect_delete_tips,Remove filter from favorites?,¿Desea eliminar el filtro de favoritos?,पसंदीदा से फ़िल्टर निकालें?,お気に入りからフィルターを削除しますか？,즐겨찾기에서 필터를 삭제하시겠습니까?,Remover filtro dos favoritos?,Удалить фильтр из избранного?,ลบฟิลเตอร์ออกจากรายการโปรดหรือไม่,Loại bỏ bộ lọc khỏi yêu thích?,是否取消收藏当前的特效?,是否取消收藏當前的特效?
camera_effect_uninstall_error_inusing,Special effects can not be uninstalled while in use,Los efectos especiales no pueden desinstalarse mientras estén en uso,विशेष प्रभावों की स्थापना उपयोग के समय रद्द नहीं की जा सकती,使用中の特殊エフェクトはアンインストールできません。,사용 중인 특수 효과는 삭제할 수 없습니다,Efeitos especiais não podem ser desinstalados enquanto estiverem em uso,Спецэффекты нельзя удалять во время исполuser_center_update_nick_not_useьзования,ไม่สามารถถอนการติดตั้งเทคนิคพิเศษขณะที่ใช้งานอยู่ได้,Không thể gỡ cài đặt hiệu ứng đặc biệt khi đang sử dụng,使用中的特效不能被卸载,使用中的特效不能被卸載
newuser_register_mobile_send_code,SMS verification code will be sent to %@,Se le enviará un código de verificación por SMS a %@,SMS सत्यापन कोड %@ को भेजा जाएगा,SMS認証コードを%@に送信します。,SMS 인증 코드가 %@(으)로 전송됩니다.,Código de verificação SMS será enviado para %@,Код проверки SMS будет отправлен на %@,รหัสยืนยันด้วย SMS จะถูกส่งไปที่ \n %@,Mã xác thực SMS sẽ được gửi tới %@,我们将发送短信验证码到这个\n号码 %@,我們將發送短信驗證碼到這個\n號碼 %@
password_skip,Skip,Saltear,छोड़ें,スキップ,생략,Pular,Пропустить,ข้าม,Bỏ qua,跳过,跳過
imageshow_size,Size:,Tamaño:,आकार:,サイズ：,크기:,Tamanho:,Размер:,ปริมาณของภาพ:,Kích cỡ:,照片大小:,照片大小:
newuser_login_third_sina,Weibo,Weibo,Weibo,Weibo,웨이보,Weibo,Weibo,Weibo,Weibo,新浪微博,新浪微博
newuser_login_use_third_login,Sign in with other way,Iniciar sesión de otra manera,दूसरी तरह से साइन इन करें,SNSアカウントでログイン,다른 방법으로 로그인,Entrar de outra forma,Войти другим способом,เข้าสู่ระบบโดยใช้บุคคลที่สาม,Đăng nhập bằng cách khác,使用第三方登录,使用第三方登錄
common_share,Share,Compartir,साझा करें,シェア,공유,Compartilhar,доля,แบ่งปัน,Chia sẻ,分享,分享
settings,Settings,Ajustes,सेटिंग्स,設定,설정,Configurações,Настройки,การตั้งค่า,Cài đặt,设置,設置
password_set_questions,Set security questions,Crear preguntas de seguridad,सुरक्षा प्रश्न सेट करें,セキュリティ質問の設定,보안 질문 설정,Definir perguntas,Задать вопрос безопасности,ตั้งคำถามรักษาความปลอดภัย,Đặt câu hỏi bảo mật,设置密码保护问题,設置密碼保護問題
newuser_set_password,Set Password,Establecer contraseña,पासवर्ड सेट करें,パスワードの設定,암호 설정,Definir senha,Задать пароль,ตั้งค่ารหัสผ่าน,Đặt Mật khẩu,设置密码,設置密碼
newuser_set_password_camera360_password,Set Camera360 account password,Establecer contraseña de cuenta de Camera360,Camera360 खाता पासवर्ड सेट करें,Camera360アカウントパスワードの設定,Camera360 계정 암호 설정,Definir senha da conta da Camera360,Задать пароль учетной записи Camera360,ตั้งรหัสผ่านของบัญชี Camera360,Đặt mật khẩu tài khoản Camera360,请设置Camera360账户密码,請設置Camera360賬號密碼
newuser_login_licences,Terms of Service,Términos de servicio,सेवा की शर्तें,利用規約,서비스 약관,Termos de Serviço,Условия предоставл. услуг,ข้อกำหนดการให้บริการและลิขสิทธิ์,Điều khoản Dịch vụ,服务协议及版权声明,服務協議及版權聲明
share_sharemenu_sendtoQQ,QQ,QQ,QQ,QQ,QQ,QQ,QQ,QQ,QQ,QQ,QQ
gallery_hasSelected,Selected %zd photos,%zd seleccionadas,%zd फ़ोटो चुनी गईं,%zd枚選択中,%zd장 선택,Escolheu %zd fotos,Выбрано %zd фото,เลือก %zd รูปแล้ว,%zd ảnh đã chọn,已选择%zd张照片,已選擇%zd張照片
selectPhoto,Select Photo,Seleccionar fotografía,फ़ोटो चुनें,アルバムから選択,사진 선택,Selecionar foto,Выберите фото,เลือกภาพ,Chọn Ảnh,从手机相册中选择,從手機相冊中選擇
gallery_selectAll,Select all,Elegir todas,सभी चुनें,すべて選択,전부 선택,Selec. tudo,Выбр. все,เลือกทั้งหมด,lựa chọn,全选,全選
gallery_collage_select,Select,Elegir  ,चुनें,選択,사진 선택,Escolher,Выбрать,เลือก,Lựa chọn,选择,選擇
scene_template,Scene Templates,Plantillas de escenarios,दृश्य टेम्प्लेट,シーンテンプレート,장면 템플릿,Modelos de cena,Шаблоны сцены,แม่แบบฉาก,Mẫu Cảnh,情景模板,情景模板
saving_photo,Saving photo...,Guardando fotografía…,फ़ोटो सहेजी जा रही है...,写真保存中…,사진 저장 중 ...,Salvando foto...,Сохранение фото...,กำลังบันทึกภาพ...,Đang lưu ảnh...,照片保存中...,照片保存中...
common_save,Save,Guardar ,सहेजें,保存,저장,Salvar,хорошо,บันทึก,Lưu,保存,保存
puzzle_rotate,Rotate,Rotar,घुमाएँ,回転,회전,Girar,Поворот,หมุน,Xoay,旋转,旋轉
